Source,Target,weight
tabbyday,tabbyday,"@SputnikInt Because the #COVID vaccine is going so well in the US 🤑

TN Nurse Faints After Taking Vaccine (LIVE ON AIR) https://t.co/GDd8T7Ndmq
 
#Vaccineinjury"
tabbyday,tabbyday,"@SputnikInt Because the #COVID vaccine is going so well in the US 🤑

TN Nurse Faints After Taking Vaccine (LIVE ON AIR) https://t.co/GDd8T7Ndmq
 
#Vaccineinjury"
tonebone721,tonebone721,@DanaAlexaNews @OANN Pass for me #NoVax #KeepChristmas
MommaHoff215,MommaHoff215,@BerezinoS AMEN! #NoMasks #NoVax
ww_patriot_co,ww_patriot_co,"@SenSanders @HawleyMO What fuckery! You create the problem and then offer a paltry solution. We won’t be enslaved by you or anyone else. 

#OpenAmerica
#NoMasks
#NoVax 
#LiveFreeOrDie 
#1776"
jujuba831,jujuba831,@Thomas1774Paine Keep the $1500. They can shove it where the sun don’t shine. #NoVax
realmamorgan,realmamorgan,"@philipsknowlton @c3y5000 I actually had the flu... because you just know when you have the flu.. and I had everyone saying, “OMG you better go get tested for The Corona”!  Nope, I am fine.. just had the flu..#NoMasks #novax #nottestingmydna"
r_kerr,r_kerr,@BlacklistedNews Shove the poison up your ass.  #NOVAX
Intuition_useit,Intuition_useit,@tomselliott @BillGates Fuck @BillGates @gatesfoundation &amp; @melindagates All of them. #NoVax
SimplySofia10,SimplySofia10,"@disarmdeepstate @CodeMonkeyZ Now it’s certificates, then it’ll be a card/chip “they” can scan with only vaccination info- then it’ll be ALL (4ur safety)medical info, financial &amp; every personal thing imaginable—OUR LIVES will belong to the govt &amp; ppl in power WILL TK OUR FREEDOM AWAY! They already are! #NoVax https://t.co/AD8bHvAOiu"
Intuition_useit,Intuition_useit,@realDonaldTrump #novax for me. 🇺🇸 #trumpwon
yah_follow,yah_follow,@CJBowden1 @Newsweek No thanks.  #NoVax
CivicViewPoint,CivicViewPoint,"@RICISAPAT Nobody in their right mind should take ANY vaccine rushed to market. There is NO POSSIBLE WAY they can have any safety data on this!  Two people in the trial have already died. 

BUT THERE ARE EFFECTIVE THERAPEUTICS! #NoVax"
Annie4Trump2020,Annie4Trump2020,"@ScottPresler @realDonaldTrump I'm sorry Scott but I thought you would be against a vaccine that governors can mandate at their will. So disappointed in everyone on the Right going sheep for the vaxx.
#novax"
gr8fllady2,gr8fllady2,@realDonaldTrump We do not need a vaccine for a virus with a 99.897 recovery rate. Almost 4 million Americans have had Covid and recovered. That’s the number we should be focused on. #novax
JoseTor09884623,JoseTor09884623,@realDonaldTrump #NOVAX we need the election to be overturned and for you too make sure we don’t have to wear masks for a 99.9% survival rate for this china virus. So please let’s stop this whole vaccine nonsense and get to work on election fraud. No vaccine.
VeryNiagara,VeryNiagara,"@libertytarian 💉💉💉💉💉💉💉💉💉💉💉💉💉💉
~~  MODERNA Clinical Study Protocol ~~
💉💉💉💉💉💉💉💉💉💉💉💉💉💉

😲#CovidVaccine may cause increase risk of disease

SOURCE: Page 32
https://t.co/OYJMJvvMvh

👇👇👇👇👇👇 #NoVax 👇👇👇👇👇👇 https://t.co/3B2Aifq9wA"
OliviaP28146643,OliviaP28146643,"@RichardUtrecht @BorgerPieter @rivm @MinPres @hugodejonge @Eurosurveillanc @c_drosten @WHO Gaat vanzelf
Just keep putting your drops in that bucket😊
Watch Flavio blckbx met de heer de Wit
#PCRgate #notest #novax #DYOR #DoYourPart 
#HumanRightsViolation #GreatAwakeningWorldwide 
#retractionpaper"
XERDAN_Design,XERDAN_Design,"@Iperbole_ In fact, the #NoVax in Italy seem actually superfluous, and even more senseless than the normal - considering that very likely there will be not enough doses for all the citizens. At least not within the necessary time."
MarDBallJr,MarDBallJr,"@DrShayPhD Economic freedom is a mandate from God. Mandating a vaccine or any other qualifier in order to trade with other people is an immoral affront to God.
#NoVaccine
#MarkOfTheBeast
#NoVax https://t.co/PfG2U6uNOW"
r_kerr,r_kerr,@realDonaldTrump #NOVAX If Trump is really a huge vaccine fan... we are all f#cked.
Eisdus,Eisdus,"@TraceyOMahony81 @sarahlmulligan Compromising ones entire existence by accepting, coerced or otherwise, a vax which does not stop the transmission of a virus and includes Messenger RNA genetic altering technology + dna cell lines of aborted male foetus + sterilisation +, is the redefinition of insanity #NoVax"
becca_liberty,becca_liberty,"@kurteichenwald @pfizer @WhiteHouse Why are you pushing vaccines?  Who in their right mind would want to put that into their body? There are NO Covid antibodies in it!  So who is winning from Covid 19?  China, big pharma, Bill Gates, Amazon, Target, Walmart.  Follow the $. #NoVax https://t.co/VCWxgG7ZRf"
JLRoss5,JLRoss5,@VinGuptaMD You’re a controlled freak. We don’t care about what you do. Globalists can go fuck themselves after all you pigs love double dipping. Not my style. #NoMask #novax
ClarenceEmswor2,ClarenceEmswor2,@clerysboy @GayleneSass The smart money says #NoVax https://t.co/kaqFkdFkXw
r_kerr,r_kerr,@realDonaldTrump #NOVAX #F#ckTrump
Seven77Ryn,Seven77Ryn,"It's NOT a VAX.  It is an injectable biometric to change your DNA and destroy your freedom to choose.
#NoMask #NoVAX"
Seven77Ryn,Seven77Ryn,"@HowleyReporter I am right behind you bro!

#NoMasks   #NoVAX"
Seven77Ryn,Seven77Ryn,"@HowleyReporter I am right behind you bro!

#NoMasks   #NoVAX"
VeryNiagara,VeryNiagara,"@fordnation 💉💉💉💉💉💉💉💉💉💉💉💉💉💉
~~  MODERNA Clinical Study Protocol ~~
💉💉💉💉💉💉💉💉💉💉💉💉💉💉

😲#CovidVaccine may cause increase risk of disease

SOURCE: Page 32
https://t.co/OYJMJvvMvh

👇👇👇👇👇👇 #NoVax 👇👇👇👇👇👇 https://t.co/m98WbTyTmV"
OliviaP28146643,OliviaP28146643,"@WokenUp2020 @richardursomd Its because they don't walk in ""in Truth"",
But hang on or cling on to a Lie....
#notest #novax #PCRgate #retractionpaper 
#HumanRightsViolation #GreatAwakeningWorldwide https://t.co/PhTWzpKJ9x"
only1nrs,only1nrs,"@drdavidbull @Iwontcalmdown @NHSEngland @10DowningStreet #SaveOurNHS Not the Covid Health Service.. 
Leave our hospital workers alone #NoVax 

https://t.co/U2qx7oXtKV"
jerseygurl_23,jerseygurl_23,@MeetThePress @NIHDirector Theres NO NEED for a vaccine for a ‘virus’ w/a 99.8% recovery rate PLUS multiple therapies that have been extremely effective! Why are they pushing for a vaccine? You need to really ask yourself why [They] lied abt treatments that work &amp; this virus is nothing like it was? ##NoVax
DonnaMcNab1,DonnaMcNab1,"@ADPaltiel @AshTuite @jasonlschwartz @RWalensky @Health_Affairs Remember something called Herd Immunity? We have a working immune system &amp; masks, sanitizer &amp; social distancing Destroy Our Immunity! A Rushed, Untested, Experimental, NO LIABILITY VAX for something with a 99.7% Survival Rate?? Where's the Seasonal Flu? #FactsMatter #novax"
Schmoopy63,Schmoopy63,"@dirtydiscooo @faithman71 If you have an immune system neither is needed
#novax 
Hey govna’s #shoveyourmasks"
r_kerr,r_kerr,@riseupmelbourne #NOVAX Do not take the Bill Gates poison.   Massive side effects including death.
simplyawakened,simplyawakened,@MeetThePress @VinGuptaMD We the people are AWAKE and see right through these sinister plans. Your Agenda21 is being dismantled right before your very eyes! #NoVax #TakeAmericaBack 🇺🇸 https://t.co/68Z0lHhghg
de_MontfortStLM,de_MontfortStLM,"@FrMatthewLC @mayerlefam @USCCB @benshapiro Father, #1 @BenShapiro mocked Jesus Christ by 2 horrendous tweets that I saw.  Not a moral source.  #2 The USCCB will not b my guide in medical care.  #3 Covid has a low death rate.  1%? Why the push for a vaccine? Talk 2 ppl who hv been maimed by them, myself included. #NoVax"
jerseygurl_23,jerseygurl_23,"@dbongino @TheRealSea7 #EnoughIsEnough Time to End These Covid LIES! This is NOT A KILLER VIRUS! It’s a damn FLU &amp; there is NO NEED for A VACCINE for 99.8% survival rate &amp; EFFECTIVE TREATMENTS, especially after Medical industry has been called out for their GROSS LIES ABT HCQ being dangerous! #NoVax"
Cromwell_MM,Cromwell_MM,@ViVi_RFObsessed Surely not even #Novax #Djokocovid fans can do that after the year he's had? #Covidiots
STR1KER,STR1KER,@jcho710 #NOVAX!!! LITERALLY!!!!
FuTwatter4,FuTwatter4,@CindyRa29964009 #MyBodyMyChoice I will go down fighting #NoVax
HerqPunish,HerqPunish,"@VincentCrypt46 Right! My choice! BUT THEY ARE FORCING IT IN MICHIGAN! You want to go to school? MUST have vaccine! Want to work in health care? MUST have vaccine! We are FOOKED... It's not going to end, they will keep pushing and pushing! #TRUMP2020
#CONSTITUTIONALREPUBLIC
#DEEPSTATEDOWN
#novax"
VeryNiagara,VeryNiagara,"@CP24 💉💉💉💉💉💉💉💉💉💉💉💉💉💉
~~  MODERNA Clinical Study Protocol ~~
💉💉💉💉💉💉💉💉💉💉💉💉💉💉

😲#CovidVaccine may cause increase risk of disease

SOURCE: Page 32
https://t.co/OYJMJvvMvh

👇👇👇👇👇👇 #NoVax 👇👇👇👇👇👇 https://t.co/egPhRYD5Kh"
Bensade,Bensade,@thereal_truther @thereal_truther followers know that parallels abound between #covidiots and the #antivax types. Arrival of #COVID19 vaccines means the movements (with their own parallels to BMs) will likely merge. #VaccinesSaveLives
tabbyday,tabbyday,"@NatGeoMag Because the Pfizer #vaccine is going so well...

https://t.co/GDd8T7Ndmq

#VaccineInjury"
tabbyday,tabbyday,"@NatGeoMag Because the Pfizer #vaccine is going so well...

https://t.co/GDd8T7Ndmq

#VaccineInjury"
dreamsmth,dreamsmth,"@thedailybeast @morgfair How's this for a bold Democratic move? Announce that you need a vaccine for #Covid19 to better return to normalcy, but if you don't want it, sign a waiver and we'll exempt you from all vaccines and we'll give yours to someone else. Because eff you. #vaccine #antivax"
monilhshah,monilhshah,"Finally having read these, following questions arise

1. Do people who have already suffered from covid need not be vaccinated?
2.  Are results of clinical trails published publicly? 🤔

#science
#antivax 
#vaccination"
bbayer5,bbayer5,@DrMStiegler #antivax=covidiot
MRomaniec,MRomaniec,@KimonaQ @hppyjesusfreak So we can now openly discuss #vaccineinjury and no liability for pharma? 🤔
MRomaniec,MRomaniec,@KimonaQ @hppyjesusfreak So we can now openly discuss #vaccineinjury and no liability for pharma? 🤔
Michkels1,Michkels1,@thebradfordfile 2004 Paper in the journal of Pediatrics. 4 CDC scientists and a research fellow. Autism and the MMR. They literally threw the true outcome in a garbage can at the CDC. They said they will “never” say vaccines cause autism! #WilliamThompsonPhD still works at CDC #CDCWhistleblower
paullypittsteel,paullypittsteel,"@LATiffani1 I concur!👍🇺🇸
#NoVax"
tabbyday,tabbyday,"@ZubyMusic @Movanhook ""Thompson has since said that the study showed an increased risk for autism among African-American boys who received the MMR but that the study authors decided not to publish that information""

https://t.co/dQwAbFQ4ol

#CDCWhistleblower"
tabbyday,tabbyday,"@ZubyMusic @Movanhook ""Thompson has since said that the study showed an increased risk for autism among African-American boys who received the MMR but that the study authors decided not to publish that information""

https://t.co/dQwAbFQ4ol

#CDCWhistleblower"
timtouring,timtouring,@FoxNews #ShameOnYou for letting @TuckerCarlson push his #antivax narrative - the death of thousands are on his and your shoulders
bfs465,bfs465,"@CM15here @KendrickLomarr Vaccinations are the finest public health creation since the first was given for, I believe, smallpox second only to surgeons washing their hands between surgeries. #antivax is medically invalid &amp; deeply dangerous. #COVID vaccinations work best when taken by the majority"
ilamarbi,ilamarbi,@playboionyx need someone to write my essay i would pay money for it covid-19 covid coronavirus corona scam vaccine flat earth #trump #trump2020 #BidenVaccine #antivax #kpop #bts #ArianaGrande𓂺 #NickiMinaj #barbz
candidlymonte,candidlymonte,@imcharlesdavis Fuck no! Everything’s corrupt! especially the government. And the same dumbasses calling us conspiracy theorists are the same idiots that said aliens weren’t real. 😅 I choose to be a sheepdog in this world of SHEEP that bow down to white bitches in suits. 😌😌 #antivax
Charla_Y,Charla_Y,@CBSNews How do we even know they're getting the real vaccine!? #conspiracytheory #antivax 😷🤒🤧
Bluedre4m20,Bluedre4m20,@210_Ice @CNN Nah they want to get it first now to stop the “fake virus”.... their words not mine. #antivax
Annairvin12,Annairvin12,"@SteveGuest If possible to leave politics out  I’d simply say #CDCWHISTLEBLOWER William Thompson admitted the CDC buried data that shows a causal link between black boys, MMR and regressive autism. The safety studies really don’t exist. Attack on a front other than vaccine risk awareness."
truthisfreedo18,Jantch2,@Jantch2 @AxaDresdin @DavidRi37127228 @realDonaldTrump Yeah I know. 🤦‍♀️
Jantch2,truthisfreedo18,"@truthisfreedo18 @AxaDresdin @DavidRi37127228 @realDonaldTrump Fascinating how almost nobody who ever replied to me knows, what anonymous really are.

A small hint: You are basically also anonymous with this profile."
truthisfreedo18,Jantch2,@Jantch2 @AxaDresdin @DavidRi37127228 @realDonaldTrump Really anonymous. You calling someone a troll is rich. 🤦‍♀️
Gwendol00414949,realDonaldTrump,"@realDonaldTrump No. People working in the white House should received these toxic vaccines first this should include vaccines sponsor's like( Bill Gates) since, they like to risk lives for money."
cerberusfla,realDonaldTrump,@realDonaldTrump Says the guy who raw dawgged it all across the country at his super spreader barking carnival shows. .
Jantch2,truthisfreedo18,"@truthisfreedo18 @AxaDresdin @DavidRi37127228 @realDonaldTrump beep BeeP BEEP
October 2020 troll detected
🚨🚨🚨"
