Source,Target,weight
colour_maestro,JosephJFlynn1,1
deanos5150,truthfilter7,1
cmoore91255,RealCandaceO,1
debjensenmysd,TeamTrump,1
debnicktom,RaphaelBurner,1
cmccbyfaith,TruthBegetsLife,1
decouds,AndrewYang,1
deeugbug,StopNewNormal,1
cloeykandb13,marklevinshow,1
cliftonaduncan,LilburnLA,1
clemaryland,marklevinshow,1
defensiveshok,realDonaldTrump,1
clear_serve,AndrewYang,1
clbwalker50,jenamh,1
deirdresm,priyachandscifi,1
delaynelee,DrMadej,1
denicarter,CNBCtech,1
clbwalker50,KimonaQ,1
coltsgirl_88,gtconway3d,1
columbus_srm,DrMadej,1
comandas2014,realDonaldTrump,1
davemcveyr,nypost,1
coolhandfluke76,DabblingDavid,1
cookie5169,marklevinshow,1
cookie5169,LaLo00731521,1
cookespring,richardursomd,1
cooker883,gtconway3d,1
daryl_trump,FreedomFlowers4,1
darylpeagram,simondolan,1
darylpeagram,sweet_vxr,1
dasuki_21257,ABC,1
concettaeedy,eileeniorio,1
dave_onion,CNBCtech,1
davecoghlan,BallouxFrancois,1
con_sosa,richardursomd,1
con_sosa,DrMadej,1
commodoreromeo,ChrisWickNews,1
deNutrients,Altostrata,1
davidbent1948,k_klo224743370,1
comfy_123,maxthelionx,1
davidpsdem,DebarringtonH,1
davidvsherrod45,and_kell,1
daweidub,EmilyMc55604706,1
cometier,ZubyMusic,1
dawnearlylight1,RealCandaceO,1
dawnste32647211,realDonaldTrump,1
dayac25f,richardursomd,1
dazilmz,CCDHate,1
dbactnow,DebarringtonH,1
dchuck72,GeoRebekah,1
dd9000,DebarringtonH,1
ddeeguy34,Nigel_Farage,1
dkegel,CCDHate,1
em_snail,DanaBethLove,1
dklenske,marklevinshow,1
greenhornetaz,greenhornetaz,1
growthHackSea,GeoRebekah,1
grow_jill,kekedoyoulove45,1
grow_jill,CNBCtech,1
grinningbamE,GeoRebekah,1
grenwuld,MartyKoekemoer,1
grendizer2007,BusyDrT,1
gregoriomirabal,SputnikInt,1
grege1953,ChrisWickNews,1
greg60328592,brianlilley,1
greenacresami,realDonaldTrump,1
goodwithneedles,fiski70,1
greco_james,nypost,1
grebnesi1,babylon_slim,1
grayrnond,KS_sunflower77,1
grandmajeep,TeamTrump,1
grandawakening2,grandawakening2,1
grammaticartist,maleflightnurse,1
gr8fllady2,gr8fllady2,1
gpse7en,DrLimeback,1
got_memories,DebarringtonH,1
gsfan62,GeoRebekah,1
gtconway3d,gtconway3d,1
guero_pacquiao,ChrisWickNews,1
guidedheart,DrMadej,1
hawaiisharky,htiekkeith1234,1
hawaiisharky,RealCandaceO,1
hasnulroslani,ok_debra,1
hartfordwolf,Nigel_Farage,1
harryphillips69,CCDHate,1
harriszainul,CCDHate,1
har36161137,StopNewNormal,1
hansidink,socialtechno,1
hannover_marc,Nigel_Farage,1
hallucinexed,JustinSandefur,1
hakatatossy,TeamTrump,1
hagasteiger,captcanucklives,1
gypshe,FreedomFlowers4,1
gyourys,StopNewNormal,1
guy_patagonia,nypost,1
guroro72,Quicktake,1
gunnsrevenge,GeoRebekah,1
gulftrotter1,CryptoBull2020,1
guider_info,mozart94,1
gospel_of_life,BallouxFrancois,1
goodrum_craig,simondolan,1
gardenofthegods,Preciouslindy,1
geoffreyvanwyk,HowleyReporter,1
gigi_loyal,jonathanstea,1
gigi_loyal,gigi_loyal,1
giant_weed,DrMadej,1
ghostboy391999,StevenOKane2,1
gg_alida,AndrewYang,1
get_bikes,KimonaQ,1
germ_nation14,Patrici58622588,1
germ_nation14,GenX_Aussie,1
geologysmith,marklevinshow,1
genghisgalahad2,GeoRebekah,1
goldwatch8,FreedomFlowers4,1
genaughton57,AndrewYang,1
gebafb,JosephJFlynn1,1
gbpandya,GeoRebekah,1
gazzaisveg,gazzaisveg,1
gazzaisveg,CryptoBull2020,1
gaylej53,Conservataria18,1
gauravcs1995,realDonaldTrump,1
gaspar_georg,realDonaldTrump,1
garrywilliams17,Nigel_Farage,1
gilda_wood,masuruha2,1
gildap1977,gtconway3d,1
gilliam3051,RealCandaceO,1
gingerfella4,SApprentice11,1
goldikins1,GeoRebekah,1
goldenpanther12,Preciouslindy,1
gogo_thomthom,DebarringtonH,1
godlymC,ZubyMusic,1
gmopundit,jonathanstea,1
gmopundit,CCDHate,1
gmc369,sl2111,1
gmc369,marklevinshow,1
gmaal1963,nypost,1
